order_id,customer_id,store_id,promotion_id,order_date,order_status,payment_method,shipping_city,shipping_state
1,1,1,,2024-01-10,COMPLETED,CREDIT_CARD,Chicago,IL
2,3,4,5,2024-01-18,COMPLETED,CREDIT_CARD,New York,NY
3,5,5,1,2024-02-03,COMPLETED,DIGITAL_WALLET,Los Angeles,CA
4,2,2,,2024-02-15,COMPLETED,DEBIT_CARD,Chicago,IL
5,7,7,,2024-02-28,COMPLETED,CASH,Houston,TX
6,4,3,,2024-03-05,CANCELLED,CREDIT_CARD,New York,NY
7,9,8,5,2024-03-12,COMPLETED,CREDIT_CARD,Austin,TX
8,6,6,,2024-03-20,COMPLETED,DIGITAL_WALLET,Los Angeles,CA
9,11,1,8,2024-04-02,COMPLETED,CREDIT_CARD,Chicago,IL
10,13,5,1,2024-04-15,RETURNED,CREDIT_CARD,Los Angeles,CA
11,18,1,,2024-04-22,COMPLETED,CREDIT_CARD,Chicago,IL
12,12,4,,2024-05-03,COMPLETED,DEBIT_CARD,New York,NY
13,14,9,,2024-05-18,COMPLETED,CREDIT_CARD,Denver,CO
14,8,7,4,2024-05-25,COMPLETED,CASH,Houston,TX
15,20,3,8,2024-06-07,COMPLETED,DIGITAL_WALLET,New York,NY
16,16,7,,2024-06-14,CANCELLED,DEBIT_CARD,Houston,TX
17,5,5,1,2024-07-01,COMPLETED,CREDIT_CARD,Los Angeles,CA
18,1,2,,2024-07-19,COMPLETED,CREDIT_CARD,Chicago,IL
19,15,9,,2024-08-05,COMPLETED,DEBIT_CARD,Denver,CO
20,3,4,5,2024-09-12,PENDING,CREDIT_CARD,New York,NY
