order_item_id,order_id,product_id,quantity,unit_price_at_sale,discount_amount,line_total
1,1,1,1,999.99,0.00,999.99
2,1,4,2,29.99,0.00,59.98
3,2,5,1,799.99,96.00,703.99
4,2,7,1,159.99,19.20,140.79
5,3,1,1,999.99,150.00,849.99
6,3,6,1,449.99,67.50,382.49
7,4,8,2,59.99,0.00,119.98
8,4,11,1,74.99,0.00,74.99
9,5,13,1,649.99,0.00,649.99
10,5,15,3,12.99,0.00,38.97
11,6,3,1,399.99,0.00,399.99
12,7,2,1,89.99,10.80,79.19
13,7,4,1,29.99,3.60,26.39
14,8,11,2,74.99,0.00,149.98
15,8,19,2,14.99,0.00,29.98
16,9,16,4,5.99,0.00,23.96
17,9,17,3,3.49,0.00,10.47
18,9,20,2,18.99,0.00,37.98
19,10,1,1,999.99,150.00,849.99
20,10,3,1,399.99,60.00,339.99
21,11,3,1,399.99,0.00,399.99
22,11,2,1,89.99,0.00,89.99
23,12,8,3,59.99,0.00,179.97
24,12,9,2,44.99,0.00,89.98
25,13,14,1,289.99,0.00,289.99
26,13,15,2,12.99,0.00,25.98
27,14,16,6,5.99,5.00,30.94
28,14,19,3,14.99,0.00,44.97
29,15,7,1,159.99,12.80,147.19
30,15,20,2,18.99,0.00,37.98
31,16,10,2,89.99,0.00,179.98
32,17,5,1,799.99,120.00,679.99
33,17,7,1,159.99,24.00,135.99
34,18,4,1,29.99,0.00,29.99
35,18,2,1,89.99,0.00,89.99
36,19,14,1,289.99,0.00,289.99
37,19,15,3,12.99,0.00,38.97
38,20,6,1,449.99,54.00,395.99
39,20,5,1,799.99,96.00,703.99
40,20,7,1,159.99,19.20,140.79
