inventory_id,store_id,product_id,quantity_on_hand,quantity_reserved,reorder_point,reorder_quantity,last_restocked_date
1,1,1,12,2,5,20,2024-10-01
2,1,2,35,5,10,50,2024-09-15
3,1,3,8,1,5,15,2024-10-10
4,2,1,3,1,5,20,2024-10-01
5,2,4,50,8,20,100,2024-09-20
6,2,8,0,0,10,30,2024-07-15
7,3,5,15,3,8,25,2024-10-05
8,3,6,7,2,5,15,2024-09-28
9,4,5,4,1,8,25,2024-09-01
10,4,7,22,4,10,30,2024-10-12
11,5,1,20,5,5,20,2024-10-08
12,5,3,10,2,5,15,2024-10-03
13,5,5,18,3,8,25,2024-10-07
14,6,11,60,10,30,80,2024-10-11
15,6,16,120,20,50,100,2024-10-11
16,7,13,5,1,3,10,2024-09-10
17,7,14,8,2,5,10,2024-10-01
18,8,9,40,5,15,40,2024-10-06
19,9,14,6,0,5,10,2024-09-25
20,9,19,85,15,40,80,2024-10-09
